"행정구역","2025년12월_거주자 인구수","2025년12월_세대수","2025년12월_세대당 인구","2025년12월_남자 인구수","2025년12월_여자 인구수"
"대구광역시 동구 (2714000000)","338,026","164,552","          2.05","164,977","173,049"
"대구광역시 동구 신암1동(2714051000)","10,803","5,315","          2.03","5,361","5,442"
"대구광역시 동구 신암2동(2714052000)","11,497","5,159","          2.23","5,428","6,069"
"대구광역시 동구 신암3동(2714053000)","11,223","5,010","          2.24","5,514","5,709"
"대구광역시 동구 신암4동(2714054000)","18,262","9,493","          1.92","8,996","9,266"
"대구광역시 동구 신암5동(2714054100)","7,347","3,768","          1.95","3,469","3,878"
"대구광역시 동구 신천1.2동(2714055500)","11,194","5,782","          1.94","5,180","6,014"
"대구광역시 동구 신천3동(2714057000)","14,234","6,353","          2.24","6,999","7,235"
"대구광역시 동구 신천4동(2714058000)","11,036","6,370","          1.73","5,402","5,634"
"대구광역시 동구 효목1동(2714059000)","11,517","6,369","          1.81","5,674","5,843"
"대구광역시 동구 효목2동(2714060000)","14,057","7,047","          1.99","6,619","7,438"
"대구광역시 동구 도평동(2714061500)","3,433","1,976","          1.74","1,873","1,560"
"대구광역시 동구 불로.봉무동(2714062000)","19,594","8,530","          2.30","9,634","9,960"
"대구광역시 동구 지저동(2714064000)","12,530","6,506","          1.93","6,223","6,307"
"대구광역시 동구 동촌동(2714065500)","13,906","7,417","          1.87","7,013","6,893"
"대구광역시 동구 방촌동(2714067000)","16,867","8,054","          2.09","8,152","8,715"
"대구광역시 동구 해안동(2714068500)","13,166","6,740","          1.95","6,545","6,621"
"대구광역시 동구 안심1동(2714072000)","37,372","19,033","          1.96","18,049","19,323"
"대구광역시 동구 안심2동(2714073000)","16,965","7,725","          2.20","8,473","8,492"
"대구광역시 동구 안심3동(2714074200)","19,990","8,514","          2.35","9,653","10,337"
"대구광역시 동구 안심4동(2714074700)","26,461","11,694","          2.26","12,926","13,535"
"대구광역시 동구 혁신동(2714075500)","16,697","8,190","          2.04","8,183","8,514"
"대구광역시 동구 공산동(2714076000)","19,875","9,507","          2.09","9,611","10,264"
