"青沥备开","2025斥12岿_芭林磊 牢备荐","2025斥12岿_技措荐","2025斥12岿_技措寸 牢备","2025斥12岿_巢磊 牢备荐","2025斥12岿_咯磊 牢备荐"
"措备堡开矫 合备 (2723000000)","408,754","192,093","          2.13","201,937","206,817"
"措备堡开矫 合备 绊己悼(2723051000)","14,385","6,019","          2.39","7,097","7,288"
"措备堡开矫 合备 磨己悼(2723052600)","22,890","10,651","          2.15","10,879","12,011"
"措备堡开矫 合备 魔魂1悼(2723055000)","3,481","1,876","          1.86","1,843","1,638"
"措备堡开矫 合备 魔魂2悼(2723056000)","17,975","7,159","          2.51","8,602","9,373"
"措备堡开矫 合备 魔魂3悼(2723057000)","17,839","7,327","          2.43","8,435","9,404"
"措备堡开矫 合备 魂拜1悼(2723061000)","7,520","4,641","          1.62","3,658","3,862"
"措备堡开矫 合备 魂拜2悼(2723062000)","9,461","4,495","          2.10","4,594","4,867"
"措备堡开矫 合备 魂拜3悼(2723063000)","8,103","5,727","          1.41","4,216","3,887"
"措备堡开矫 合备 魂拜4悼(2723063100)","7,038","4,044","          1.74","3,689","3,349"
"措备堡开矫 合备 措泅悼(2723064500)","15,443","8,568","          1.80","7,779","7,664"
"措备堡开矫 合备 汗泅1悼(2723067100)","6,858","4,998","          1.37","3,820","3,038"
"措备堡开矫 合备 汗泅2悼(2723067200)","28,828","12,578","          2.29","14,199","14,629"
"措备堡开矫 合备 八窜悼(2723068000)","5,498","3,008","          1.83","2,665","2,833"
"措备堡开矫 合备 公怕炼具悼(2723069500)","32,954","14,736","          2.24","16,805","16,149"
"措备堡开矫 合备 包巩悼(2723071500)","32,390","13,928","          2.33","16,014","16,376"
"措备堡开矫 合备 怕傈1悼(2723072500)","21,167","10,938","          1.94","10,519","10,648"
"措备堡开矫 合备 怕傈2悼(2723073500)","21,799","10,303","          2.12","10,552","11,247"
"措备堡开矫 合备 备鞠悼(2723074500)","30,701","12,966","          2.37","14,930","15,771"
"措备堡开矫 合备 包澜悼(2723075000)","13,884","6,901","          2.01","6,998","6,886"
"措备堡开矫 合备 谰郴悼(2723077000)","24,923","11,631","          2.14","12,332","12,591"
"措备堡开矫 合备 悼玫悼(2723078000)","25,042","10,350","          2.42","12,036","13,006"
"措备堡开矫 合备 畴盔悼(2723079000)","11,025","5,676","          1.94","5,679","5,346"
"措备堡开矫 合备 惫快悼(2723080000)","29,550","13,573","          2.18","14,596","14,954"
