"행정구역","2025년12월_거주자 인구수","2025년12월_세대수","2025년12월_세대당 인구","2025년12월_남자 인구수","2025년12월_여자 인구수"
"대구광역시 중구 (2711000000)","100,473","49,908","          2.01","47,929","52,544"
"대구광역시 중구 동인동(2711051700)","10,837","6,178","          1.75","5,370","5,467"
"대구광역시 중구 삼덕동(2711054500)","7,337","4,478","          1.64","3,572","3,765"
"대구광역시 중구 성내1동(2711056500)","5,165","3,759","          1.37","2,428","2,737"
"대구광역시 중구 성내2동(2711057500)","8,633","4,884","          1.77","4,103","4,530"
"대구광역시 중구 성내3동(2711058500)","13,517","5,731","          2.36","6,699","6,818"
"대구광역시 중구 대신동(2711059500)","7,284","3,224","          2.26","3,505","3,779"
"대구광역시 중구 남산1동(2711064000)","5,020","2,718","          1.85","2,381","2,639"
"대구광역시 중구 남산2동(2711065000)","7,137","3,326","          2.15","3,327","3,810"
"대구광역시 중구 남산3동(2711066000)","5,889","2,668","          2.21","2,678","3,211"
"대구광역시 중구 남산4동(2711067000)","16,111","6,915","          2.33","7,535","8,576"
"대구광역시 중구 대봉1동(2711068000)","7,654","3,472","          2.20","3,525","4,129"
"대구광역시 중구 대봉2동(2711069000)","5,889","2,555","          2.30","2,806","3,083"
